Options: -w5 -e5 -m2 -c4 -t10 -se3100 -sw3100
car  4, eastbound, is arriving...
car  4, eastbound, is waiting...
car  2, eastbound, is arriving...
car  2, eastbound, is waiting...
car  0, eastbound, is arriving...
car  0, eastbound, is waiting...
car  9, westbound, is leaving ...
car  7, westbound, is getting on the bridge...
car  9, westbound, is arriving...
car  9, westbound, is waiting...
car  8, westbound, is leaving ...
car  5, westbound, is getting on the bridge...
car  5, westbound, is leaving ...
car  8, westbound, is arriving...
car  8, westbound, is waiting...
car  7, westbound, is leaving ...
car  3, eastbound, is getting on the bridge...
car  1, eastbound, is getting on the bridge...
car  4, eastbound, is waiting...
car  2, eastbound, is waiting...
car  0, eastbound, is waiting...
car  5, westbound, is arriving...
car  5, westbound, is waiting...
car  3, eastbound, is leaving ...
car  4, eastbound, is getting on the bridge...
car  7, westbound, is arriving...
car  7, westbound, is waiting...
car  1, eastbound, is leaving ...
car  2, eastbound, is getting on the bridge...
car  1, eastbound, is arriving...
car  1, eastbound, is waiting...
car  3, eastbound, is arriving...
car  3, eastbound, is waiting...
car  4, eastbound, is leaving ...
car  2, eastbound, is leaving ...
car  6, westbound, is getting on the bridge...
car  9, westbound, is getting on the bridge...
car  8, westbound, is waiting...
car  5, westbound, is waiting...
car  7, westbound, is waiting...
car  4, eastbound, is arriving...
car  4, eastbound, is waiting...
car  9, westbound, is leaving ...
car  8, westbound, is getting on the bridge...
car  6, westbound, is leaving ...
car  5, westbound, is getting on the bridge...
car  2, eastbound, is arriving...
car  2, eastbound, is waiting...
car  5, westbound, is leaving ...
car  8, westbound, is leaving ...
car  0, eastbound, is getting on the bridge...
car  1, eastbound, is getting on the bridge...
car  3, eastbound, is waiting...
car  4, eastbound, is waiting...
car  2, eastbound, is waiting...
car  6, westbound, is arriving...
car  6, westbound, is waiting...
car  9, westbound, is arriving...
car  9, westbound, is waiting...
car  5, westbound, is arriving...
car  5, westbound, is waiting...
car  1, eastbound, is leaving ...
car  3, eastbound, is getting on the bridge...
car  0, eastbound, is leaving ...
car  4, eastbound, is getting on the bridge...
car  4, eastbound, is leaving ...
car  0, eastbound, is arriving...
car  0, eastbound, is waiting...
car  4, eastbound, is arriving...
car  4, eastbound, is waiting...
car  1, eastbound, is arriving...
car  1, eastbound, is waiting...
car  8, westbound, is arriving...
car  8, westbound, is waiting...
car  3, eastbound, is leaving ...
car  7, westbound, is getting on the bridge...
car  6, westbound, is getting on the bridge...
car  9, westbound, is waiting...
car  5, westbound, is waiting...
car  8, westbound, is waiting...
car  6, westbound, is leaving ...
car  9, westbound, is getting on the bridge...
car  7, westbound, is leaving ...
car  5, westbound, is getting on the bridge...
car  6, westbound, is arriving...
car  6, westbound, is waiting...
car  7, westbound, is arriving...
car  7, westbound, is waiting...
car  3, eastbound, is arriving...
car  3, eastbound, is waiting...
car  9, westbound, is leaving ...
car  5, westbound, is leaving ...
car  2, eastbound, is getting on the bridge...
car  0, eastbound, is getting on the bridge...
car  4, eastbound, is waiting...
car  1, eastbound, is waiting...
car  3, eastbound, is waiting...
car  5, westbound, is arriving...
car  5, westbound, is waiting...
car  2, eastbound, is leaving ...
car  4, eastbound, is getting on the bridge...
car  9, westbound, is arriving...
car  9, westbound, is waiting...
car  0, eastbound, is leaving ...
car  1, eastbound, is getting on the bridge...
car  0, eastbound, is arriving...
car  0, eastbound, is waiting...
car  2, eastbound, is arriving...
car  2, eastbound, is waiting...
car  4, eastbound, is leaving ...
car  4, eastbound, is arriving...
car  4, eastbound, is waiting...
car  1, eastbound, is leaving ...
car  8, westbound, is getting on the bridge...
car  6, westbound, is getting on the bridge...
car  7, westbound, is waiting...
car  5, westbound, is waiting...
car  9, westbound, is waiting...
car  6, westbound, is leaving ...
car  7, westbound, is getting on the bridge...
car  8, westbound, is leaving ...
car  5, westbound, is getting on the bridge...
car  1, eastbound, is arriving...
car  1, eastbound, is waiting...
car  6, westbound, is arriving...
car  6, westbound, is waiting...
car  8, westbound, is arriving...
car  8, westbound, is waiting...
car  5, westbound, is leaving ...
car  7, westbound, is leaving ...
car  3, eastbound, is getting on the bridge...
car  0, eastbound, is getting on the bridge...
car  2, eastbound, is waiting...
car  4, eastbound, is waiting...
car  1, eastbound, is waiting...
car  0, eastbound, is leaving ...
car  2, eastbound, is getting on the bridge...
car  5, westbound, is arriving...
car  5, westbound, is waiting...
car  2, eastbound, is leaving ...
car  4, eastbound, is getting on the bridge...
car  2, eastbound, is arriving...
car  2, eastbound, is waiting...
car  0, eastbound, is arriving...
car  0, eastbound, is waiting...
car  4, eastbound, is leaving ...
car  7, westbound, is arriving...
car  7, westbound, is waiting...
car  3, eastbound, is leaving ...
car  9, westbound, is getting on the bridge...
car  6, westbound, is getting on the bridge...
car  8, westbound, is waiting...
car  5, westbound, is waiting...
car  7, westbound, is waiting...
car  3, eastbound, is arriving...
car  3, eastbound, is waiting...
car  9, westbound, is leaving ...
car  8, westbound, is getting on the bridge...
car  4, eastbound, is arriving...
car  4, eastbound, is waiting...
car  9, westbound, is arriving...
car  9, westbound, is waiting...
car  8, westbound, is leaving ...
car  5, westbound, is getting on the bridge...
car  6, westbound, is leaving ...
car  6, westbound, is arriving...
car  6, westbound, is waiting...
car  8, westbound, is arriving...
car  8, westbound, is waiting...
car  5, westbound, is leaving ...
car  1, eastbound, is getting on the bridge...
car  2, eastbound, is getting on the bridge...
car  0, eastbound, is waiting...
car  3, eastbound, is waiting...
car  4, eastbound, is waiting...
car  5, westbound, is arriving...
car  5, westbound, is waiting...
car  2, eastbound, is leaving ...
car  0, eastbound, is getting on the bridge...
car  1, eastbound, is leaving ...
car  3, eastbound, is getting on the bridge...
car  1, eastbound, is arriving...
car  1, eastbound, is waiting...
car  2, eastbound, is arriving...
car  2, eastbound, is waiting...
car  0, eastbound, is leaving ...
car  3, eastbound, is leaving ...
car  7, westbound, is getting on the bridge...
car  9, westbound, is getting on the bridge...
car  6, westbound, is waiting...
car  8, westbound, is waiting...
car  5, westbound, is waiting...
car  0, eastbound, is arriving...
car  0, eastbound, is waiting...
car  3, eastbound, is arriving...
car  3, eastbound, is waiting...
car  7, westbound, is leaving ...
car  6, westbound, is getting on the bridge...
car  6, westbound, is leaving ...
car  8, westbound, is getting on the bridge...
car  8, westbound, is leaving ...
car  8, westbound, is arriving...
car  8, westbound, is waiting...
car  7, westbound, is arriving...
car  7, westbound, is waiting...
car  6, westbound, is arriving...
car  6, westbound, is waiting...
car  9, westbound, is leaving ...
car  4, eastbound, is getting on the bridge...
car  1, eastbound, is getting on the bridge...
car  2, eastbound, is waiting...
car  0, eastbound, is waiting...
car  3, eastbound, is waiting...
car  1, eastbound, is leaving ...
car  2, eastbound, is getting on the bridge...
car  2, eastbound, is leaving ...
car  0, eastbound, is getting on the bridge...
car  1, eastbound, is arriving...
car  1, eastbound, is waiting...
car  0, eastbound, is leaving ...
car  4, eastbound, is leaving ...
car  5, westbound, is getting on the bridge...
car  8, westbound, is getting on the bridge...
car  7, westbound, is waiting...
car  6, westbound, is waiting...
car  0, eastbound, is arriving...
car  0, eastbound, is waiting...
car  2, eastbound, is arriving...
car  2, eastbound, is waiting...
car  8, westbound, is leaving ...
car  7, westbound, is getting on the bridge...
car  7, westbound, is leaving ...
car  6, westbound, is getting on the bridge...
car  5, westbound, is leaving ...
car  6, westbound, is leaving ...
car  3, eastbound, is getting on the bridge...
car  1, eastbound, is getting on the bridge...
car  0, eastbound, is waiting...
car  2, eastbound, is waiting...
car  7, westbound, is arriving...
car  7, westbound, is waiting...
car  5, westbound, is arriving...
car  5, westbound, is waiting...
car  3, eastbound, is leaving ...
car  0, eastbound, is getting on the bridge...
car  0, eastbound, is leaving ...
car  2, eastbound, is getting on the bridge...
car  0, eastbound, is arriving...
car  0, eastbound, is waiting...
car  1, eastbound, is leaving ...
car  2, eastbound, is leaving ...
car  7, westbound, is getting on the bridge...
car  5, westbound, is getting on the bridge...
car  5, westbound, is leaving ...
car  7, westbound, is leaving ...
car  0, eastbound, is getting on the bridge...
car  0, eastbound, is leaving ...
car  3, eastbound, is arriving...
car  3, eastbound, is getting on the bridge...
car  3, eastbound, is leaving ...
